Number,RTT_TIMESTAMP,RTT_RESULT,IMU_TIMESTAMP,Accx,Accy,Accz,Gyrox,Gyroy,Gyroz,Magx,Magy,Magz,Azimuth,Pitch,Roll,Points,x,y,
396,2893160000000,"[b0:e4:d5:39:26:89, 23613, 60, -69, 14:22:3b:16:5a:bd, 9703, 45, -43, cc:f4:11:8b:29:4d, 20128, 60, -57, b0:e4:d5:96:3b:95, 1894, 60, -37, 14:22:3b:2a:86:f5, 7542, 90, -59, f8:1a:2b:06:3c:0b, 7601, 45, -53]",2.89E+12,0.7645068,1.2053844,10.353744,-0.064599,0.07651087,-0.067500606,17.9096,10.0406,42.7366,-1.2489567,-0.115586564,-0.073704936,0,17.886576,20.159,
397,2893630000000,"[b0:e4:d5:39:26:89, 23296, 75, -68, 14:22:3b:16:5a:bd, 10179, 75, -46, cc:f4:11:8b:29:4d, 21121, 150, -56, b0:e4:d5:96:3b:95, 2472, 90, -34, 14:22:3b:2a:86:f5, 9019, 315, -58, f8:1a:2b:06:3c:0b, 6890, 60, -53]",2.89E+12,0.21415763,-0.8279166,10.162318,-0.07223482,-0.044898596,-0.04337143,17.531399,10.2114,42.4194,-0.8835859,0.08127177,-0.021070579,0,17.875782,20.159,
398,2893630000000,"[b0:e4:d5:39:26:89, 23296, 75, -68, 14:22:3b:16:5a:bd, 10179, 75, -46, cc:f4:11:8b:29:4d, 21121, 150, -56, b0:e4:d5:96:3b:95, 2472, 90, -34, 14:22:3b:2a:86:f5, 9019, 315, -58, f8:1a:2b:06:3c:0b, 6890, 60, -53]",2.89E+12,0.43848476,2.099702,9.699904,0.18417588,0.01695151,-0.02076942,17.1288,10.4066,42.687798,-1.5053773,-0.21296623,-0.0451743,0,17.864988,20.159,
399,2894120000000,"[b0:e4:d5:39:26:89, 22691, 75, -69, 14:22:3b:16:5a:bd, 10277, 135, -47, cc:f4:11:8b:29:4d, 21007, 60, -59, b0:e4:d5:96:3b:95, 2507, 45, -33, 14:22:3b:2a:86:f5, 9035, 180, -55, f8:1a:2b:06:3c:0b, 6121, 180, -53]",2.89E+12,-0.43429732,-1.0289137,10.137193,-0.18646662,-0.02565634,-0.02397646,17.751,10.675,41.7118,-0.9237578,0.1010604,0.04281579,0,17.854194,20.159,
400,2894120000000,"[b0:e4:d5:39:26:89, 22691, 75, -69, 14:22:3b:16:5a:bd, 10277, 135, -47, cc:f4:11:8b:29:4d, 21007, 60, -59, b0:e4:d5:96:3b:95, 2507, 45, -33, 14:22:3b:2a:86:f5, 9035, 180, -55, f8:1a:2b:06:3c:0b, 6121, 180, -53]",2.89E+12,0.5772685,1.3519448,10.287343,0.18402316,-0.0627664,0.08200866,17.812,10.321199,42.614597,-1.2823576,-0.13046652,-0.05605565,0,17.8434,20.159,
401,2894120000000,"[b0:e4:d5:39:26:89, 22691, 75, -69, 14:22:3b:16:5a:bd, 10277, 135, -47, cc:f4:11:8b:29:4d, 21007, 60, -59, b0:e4:d5:96:3b:95, 2507, 45, -33, 14:22:3b:2a:86:f5, 9035, 180, -55, f8:1a:2b:06:3c:0b, 6121, 180, -53]",2.89E+12,-1.7078772,1.5236298,9.281759,-0.049938235,-0.013439035,-0.006566802,17.336199,10.7726,42.395,-1.3911512,-0.16006179,0.18196817,0,17.832606,20.159,
402,2894580000000,"[b0:e4:d5:39:26:89, 22882, 150, -72, 14:22:3b:16:5a:bd, 9281, 180, -53, cc:f4:11:8b:29:4d, 19941, 105, -61, b0:e4:d5:96:3b:95, 3421, 210, -33, 14:22:3b:2a:86:f5, 7328, 75, -52, f8:1a:2b:06:3c:0b, 6066, 90, -53]",2.89E+12,-0.01794617,-1.0779666,10.080363,0.04550946,0.022143865,0.05375614,17.921799,10.125999,42.3218,-0.89040226,0.10653225,0.001780308,0,17.821812,20.159,
403,2894580000000,"[b0:e4:d5:39:26:89, 22882, 150, -72, 14:22:3b:16:5a:bd, 9281, 180, -53, cc:f4:11:8b:29:4d, 19941, 105, -61, b0:e4:d5:96:3b:95, 3421, 210, -33, 14:22:3b:2a:86:f5, 7328, 75, -52, f8:1a:2b:06:3c:0b, 6066, 90, -53]",2.89E+12,-0.44207397,0.84765744,9.757333,0.20754147,-0.075594574,0.064751714,17.921799,10.8702,42.211998,-1.2198586,-0.08656797,0.045275882,0,17.811018,20.159,
404,2895050000000,"[b0:e4:d5:39:26:89, 23484, 195, -74, 14:22:3b:16:5a:bd, 8500, 150, -57, cc:f4:11:8b:29:4d, 19816, 210, -63, b0:e4:d5:96:3b:95, 2042, 105, -34, 14:22:3b:2a:86:f5, 7289, 75, -50, f8:1a:2b:06:3c:0b, 6035, 120, -51]",2.90E+12,-0.3062813,-0.8500503,9.862019,-0.056199603,0.001832596,0.035124753,17.6412,10.492,41.8948,-0.93406665,0.085940614,0.031046676,0,17.800224,20.159,
405,2895050000000,"[b0:e4:d5:39:26:89, 23484, 195, -74, 14:22:3b:16:5a:bd, 8500, 150, -57, cc:f4:11:8b:29:4d, 19816, 210, -63, b0:e4:d5:96:3b:95, 2042, 105, -34, 14:22:3b:2a:86:f5, 7289, 75, -50, f8:1a:2b:06:3c:0b, 6035, 120, -51]",2.90E+12,-0.36610186,-0.49172506,9.862617,0.01985312,-0.045662176,0.015577064,17.8486,10.3822,41.419,-1.0015751,0.04978199,0.037103117,0,17.78943,20.159,
