Number,RTT_TIMESTAMP,RTT_RESULT,IMU_TIMESTAMP,Accx,Accy,Accz,Gyrox,Gyroy,Gyroz,Magx,Magy,Magz,Azimuth,Pitch,Roll,Points,
553,6340707860437,"[b0:e4:d5:39:26:89, 31510, 350, -89, 14:22:3b:16:5a:bd, 5925, 82, -52, b0:e4:d5:91:ba:5d, 36511, 2343, -84, cc:f4:11:8b:29:4d, 15095, 1100, -67, b0:e4:d5:96:3b:95, 17566, 146, -65, b0:e4:d5:01:26:f5, 10467, 130, -69, 14:22:3b:2a:86:f5, 30213, 310, -70, f8:1a:2b:06:3c:0b, 9322, 63, -58]",6340706410229,0.06759724,0.5479564,10.794621,0.012369657,0.025655584,-0.00167983,-22.1625,-3.775,32.325,1.8077927,-0.05071746,-0.0062620407,0,
554,6341019792604,"[b0:e4:d5:39:26:89, 24997, 1841, -88, 14:22:3b:16:5a:bd, 5984, 65, -51, cc:f4:11:8b:29:4d, 12058, 146, -68, b0:e4:d5:96:3b:95, 17410, 82, -68, b0:e4:d5:01:26:f5, 10203, 200, -68, 14:22:3b:2a:86:f5, 30125, 75, -71, f8:1a:2b:06:3c:0b, 9010, 165, -58]",6341018721874,-0.61734825,-0.8225328,11.140983,-0.03603999,-0.02107423,-0.0062611843,-22.0875,-3.1125,31.5,1.6053455,0.07358328,0.055355757,0,
555,6341329149197,"[b0:e4:d5:39:26:89, 24395, 219, -87, 14:22:3b:16:5a:bd, 5886, 201, -50, cc:f4:11:8b:29:4d, 11785, 107, -73, b0:e4:d5:96:3b:95, 17410, 104, -70, b0:e4:d5:01:26:f5, 13601, 115, -65, 14:22:3b:2a:86:f5, 30154, 69, -67, f8:1a:2b:06:3c:0b, 8463, 149, -68]",6341327738520,-0.8745767,0.2632105,10.207782,-0.008704574,0.019699825,0.0015271181,-22.175001,-2.6125,31.85,1.7482756,-0.025685504,0.085468724,0,
556,6341329149197,"[b0:e4:d5:39:26:89, 24395, 219, -87, 14:22:3b:16:5a:bd, 5886, 201, -50, cc:f4:11:8b:29:4d, 11785, 107, -73, b0:e4:d5:96:3b:95, 17410, 104, -70, b0:e4:d5:01:26:f5, 13601, 115, -65, 14:22:3b:2a:86:f5, 30154, 69, -67, f8:1a:2b:06:3c:0b, 8463, 149, -68]",6341327738520,0.17766708,-0.047258247,9.504292,0.02443389,-0.09758285,0.014049487,-21.975,-3.4875,31.325,1.7175308,0.004971397,-0.018691177,0,
557,6341640747822,"[b0:e4:d5:39:26:89, 27154, 829, -89, 14:22:3b:16:5a:bd, 5925, 90, -50, cc:f4:11:8b:29:4d, 12175, 74, -80, b0:e4:d5:96:3b:95, 17644, 152, -70, b0:e4:d5:01:26:f5, 13660, 223, -67, 14:22:3b:2a:86:f5, 30124, 101, -69, f8:1a:2b:06:3c:0b, 9244, 189, -68]",6341639213342,-0.78065836,0.0526421,10.864612,-0.035581853,0.019241689,-0.03191677,-21.9375,-3.1000001,31.5,1.7353904,-0.004832784,0.07173004,0,
558,6341947879571,"[b0:e4:d5:39:26:89, 29317, 2136, -91, 14:22:3b:16:5a:bd, 6199, 199, -50, cc:f4:11:8b:29:4d, 11746, 146, -81, b0:e4:d5:96:3b:95, 17996, 90, -67, b0:e4:d5:01:26:f5, 11629, 115, -68, 14:22:3b:2a:86:f5, 30095, 127, -68, f8:1a:2b:06:3c:0b, 12291, 101, -63]",6341946475508,0.10707881,0.040677983,10.188639,0.035887275,-0.01267508,0.0022906773,-21.65,-3.4750001,31.65,1.7331481,-0.003992243,-0.010509242,0,
559,6341947879571,"[b0:e4:d5:39:26:89, 29317, 2136, -91, 14:22:3b:16:5a:bd, 6199, 199, -50, cc:f4:11:8b:29:4d, 11746, 146, -81, b0:e4:d5:96:3b:95, 17996, 90, -67, b0:e4:d5:01:26:f5, 11629, 115, -68, 14:22:3b:2a:86:f5, 30095, 127, -68, f8:1a:2b:06:3c:0b, 12291, 101, -63]",6341946475508,0.17826529,-0.17587246,9.505488,-0.030389652,-0.056656085,0.029015245,-21.612501,-3.075,31.65,1.682778,0.018496837,-0.018751735,0,
560,6342273462833,"[b0:e4:d5:39:26:89, 27486, 386, -87, 14:22:3b:16:5a:bd, 6316, 113, -50, b0:e4:d5:91:ba:5d, 38504, 0, -94, cc:f4:11:8b:29:4d, 12761, 150, -79, b0:e4:d5:96:3b:95, 16882, 77, -70, b0:e4:d5:01:26:f5, 13132, 73, -69, 14:22:3b:2a:86:f5, 29978, 96, -66, f8:1a:2b:06:3c:0b, 8853, 310, -61]",6342271403405,0.06460621,-0.50787663,10.14497,0.004886778,0.012064233,0.073912516,-22.025,-2.5875,31.5125,1.6164665,0.050019138,-0.0063682143,0,
561,6342273462833,"[b0:e4:d5:39:26:89, 27486, 386, -87, 14:22:3b:16:5a:bd, 6316, 113, -50, b0:e4:d5:91:ba:5d, 38504, 0, -94, cc:f4:11:8b:29:4d, 12761, 150, -79, b0:e4:d5:96:3b:95, 16882, 77, -70, b0:e4:d5:01:26:f5, 13132, 73, -69, 14:22:3b:2a:86:f5, 29978, 96, -66, f8:1a:2b:06:3c:0b, 8853, 310, -61]",6342271403405,-0.11246266,-0.5838487,9.455837,0.0021379655,0.11850437,-0.060168456,-21.95,-3.2250001,31.5,1.6292171,0.061662156,0.011892904,0,
562,6342602945261,"[b0:e4:d5:39:26:89, 27442, 2121, -94, 14:22:3b:16:5a:bd, 6306, 63, -54, cc:f4:11:8b:29:4d, 12801, 199, -72, b0:e4:d5:96:3b:95, 15945, 179, -71, b0:e4:d5:01:26:f5, 16668, 79, -68, 14:22:3b:2a:86:f5, 29626, 126, -68, f8:1a:2b:06:3c:0b, 9557, 146, -66]",6342601954532,0.17168503,0.5084748,10.3441725,-0.028251685,0.034971006,-0.023059484,-21.800001,-3.3625,31.987501,1.787287,-0.049109392,-0.016595747,0,
