M1 Time Stamp (ms),AP1 True Distance (m),AP1 RTT Distance (m),AP1 RTT std (m),AP1 RSS (dBm),AP2 True Distance (m),AP2 RTT Distance (m),AP2 RTT std (m),AP2 RSS (dBm),AP3 True Distance (m),AP3 RTT Distance (m),AP3 RTT std (m),AP3 RSS (dBm),AP4 True Distance (m),AP4 RTT Distance (m),AP4 RTT std (m),AP4 RSS (dBm),AP5 True Distance (m),AP5 RTT Distance (m),AP5 RTT std (m),AP5 RSS (dBm),AP6 True Distance (m),AP6 RTT Distance (m),AP6 RTT std (m),AP6 RSS (dBm),AP7 True Distance (m),AP7 RTT Distance (m),AP7 RTT std (m),AP7 RSS (dBm),AP8 True Distance (m),AP8 RTT Distance (m),AP8 RTT std (m),AP8 RSS (dBm),AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Azimuth,Pitch,Roll,M1 Ground Truth_x,M1 Ground Truth_y,user,circle
12060.90141,0,0,0,0,21.02866278,23.21661655,0.09,-55,0,0,0,0,0,0,0,0,3.413417077,6.926978057,0.09,-50,6.940736385,14.03009341,0.18,-63,1.724145837,2.209123129,0.03,-46,11.31748202,12.39191688,0.03,-54,-0.5706882,2.2259233,9.385847,0.09972375,-0.1217149,-0.048258353,-173.4352,-72.3826,144.7042,2.1442394,-0.23244154,0.060728293,21.51889009,20.159,2,4
12591.79582,0,0,0,0,21.00613772,22.94355249,0.06,-56,0,0,0,0,0,0,0,0,3.391083078,7.483314774,0.03,-51,6.927256529,15.82410263,0.3,-65,1.74190936,3.269994495,0.075,-44,11.29519837,12.8102459,0.075,-52,-0.8333005,1.4614165,9.71127,0.16142114,-0.051618114,0.029168816,-173.53279,-72.760796,144.8018,2.1077178,-0.14882703,0.085597895,21.49635991,20.159,2,4
13139.7369,0,0,0,0,20.97235017,23.2986355,0.075,-54,0,0,0,0,0,0,0,0,3.357587015,8.883940792,0.06,-52,6.907125228,12.26681413,0.33,-62,1.768758242,1.818514779,0.09,-49,11.26177475,12.68114668,0.045,-51,-0.1680958,1.2604194,10.039685,0.09315695,0.08155051,-0.03924809,-173.53279,-72.0898,144.7896,2.0547092,-0.12487299,0.01674157,21.46256466,20.159,2,4
13596.69394,0,0,0,0,20.94982514,23.2986355,0.045,-53,0,0,0,0,0,0,0,0,3.335259647,8.438199393,0.09,-55,6.893763734,7.968328306,0.285,-64,1.786788491,4.56570356,0.105,-46,11.23949356,12.70416451,0.03,-50,0.30149564,0.38344982,9.966704,-0.027641652,0.16218472,0.02321288,-173.8134,-72.4802,144.387,1.9825088,-0.038436547,-0.030241063,21.44003448,20.159,2,4
14148.85934,0,0,0,0,20.91603762,23.49067934,0.03,-53,0,0,0,0,0,0,0,0,3.301773771,7.204670985,0.045,-55,6.873811265,12.53603271,0.21,-60,1.814022521,4.26277656,0.12,-42,11.20607365,12.81424894,0.075,-50,-0.3487539,-0.30089745,9.826126,0.051159963,-0.10888673,-0.050701816,-174.521,-73.5172,145.0824,1.9571577,0.030593367,0.03547762,21.40623922,20.159,2,4
14705.96367,0,0,0,0,20.88225014,22.86153295,0.045,-55,0,0,0,0,0,0,0,0,3.268294274,10.21376894,0.105,-52,6.853967355,9.509864826,0.225,-63,1.841474005,3.739723118,0.135,-41,11.17265601,12.73218614,0.03,-50,0.24705894,1.4327025,9.550952,0.17730364,-0.036651913,0.004734206,-173.423,-73.81,144.1308,2.057437,-0.14884701,-0.025861701,21.37244397,20.159,2,4
15301.40707,0,0,0,0,20.84846267,23.02557189,0.045,-55,0,0,0,0,0,0,0,0,3.234821333,7.060317557,0.03,-51,6.834232938,13.10346401,0.27,-61,1.869133378,3.893022605,0.09,-43,11.13924063,13.25157051,0.075,-49,2.2492533,-0.5694918,9.257831,-0.07422013,-0.3399465,-0.23884831,-173.911,-74.7616,144.0332,1.897241,0.05970463,-0.2383389,21.33864871,20.159,2,4
15845.4168,0,0,0,0,20.82593769,22.65048203,0.09,-56,0,0,0,0,0,0,0,0,3.212509782,7.748885404,0.075,-51,6.821137959,11.16380871,0.18,-60,1.887683945,3.8103345,0.045,-40,11.11696499,13.24756766,0.03,-49,-0.80817586,-2.4221346,10.57508,-0.14080444,0.000611,-0.066737026,-174.2038,-74.1882,144.204,1.7964842,0.22452523,0.07627441,21.31611853,20.159,2,4
16390.63498,0,0,0,0,20.79215028,22.64248008,0.09,-57,0,0,0,0,0,0,0,0,3.179048258,7.894181402,0.12,-52,6.801588164,14.35029202,0.255,-63,1.9156698,3.897055427,0.105,-42,11.08355347,12.94734911,0.03,-51,0.07058827,0.5916254,10.20479,0.14920384,-0.09621128,-0.001679879,-174.0818,-74.4932,143.4232,2.0116372,-0.057909064,-0.00691706,21.28232328,20.159,2,4
16938.56536,0,0,0,0,20.75836288,22.56846198,0.03,-57,0,0,0,0,0,0,0,0,3.14559386,6.950037698,0.105,-55,6.782150413,13.59180639,0.15,-61,1.943840312,4.140922723,0.06,-40,11.05014427,12.84126945,0.03,-50,-0.07836494,0.78424764,9.539586,-0.006566802,0.1919644,0.09911288,-174.19159,-74.1028,143.9112,2.0310137,-0.08202261,0.008214526,21.24852802,20.159,2,4
