Number,RTT_TIMESTAMP,RTT_RESULT,IMU_TIMESTAMP,Accx,Accy,Accz,Gyrox,Gyroy,Gyroz,Magx,Magy,Magz,Azimuth,Pitch,Roll,Points,,
41,4438634257726,"[b0:e4:d5:39:26:89, 23307, 117, -67, 14:22:3b:16:5a:bd, 15125, 67, -66, cc:f4:11:8b:29:4d, 30261, 135, -81, b0:e4:d5:96:3b:95, 12751, 110, -62, 14:22:3b:2a:86:f5, 5066, 59, -56, f8:1a:2b:06:3c:0b, 7164, 99, -60]",4.43863E+12,-0.6376872,-0.4977071,9.741779,-0.006261184,0.012522369,-0.001527118,-23.675001,-4.4125,35.9375,1.6878597,0.050936755,0.065365754,0,21.61982071,15.326
42,4438889591345,"[b0:e4:d5:39:26:89, 23111, 87, -71, 14:22:3b:16:5a:bd, 14480, 46, -71, cc:f4:11:8b:29:4d, 30367, 679, -90, b0:e4:d5:96:3b:95, 9480, 152, -60, 14:22:3b:2a:86:f5, 4900, 129, -62, f8:1a:2b:06:3c:0b, 6393, 55, -55]",4.43889E+12,0.30089745,-0.8967103,9.771091,-0.014049487,-0.046118967,-0.21410197,-23.0375,-4.3375,35.075,1.6197793,0.091472305,-0.030784933,0,21.60662121,15.326
43,4439159121892,"[b0:e4:d5:39:26:89, 23541, 95, -64, 14:22:3b:16:5a:bd, 14392, 50, -64, cc:f4:11:8b:29:4d, 31121, 0, -85, b0:e4:d5:96:3b:95, 8816, 55, -63, 14:22:3b:2a:86:f5, 5034, 1179, -53, f8:1a:2b:06:3c:0b, 7369, 117, -59]",4.43916E+12,0.040677983,0.3894319,9.937392,0.008704574,-0.06062659,-0.011147963,-22.9625,-3.825,35.925,1.7931619,-0.039168168,-0.004093404,0,21.59342172,15.326
44,4439159121892,"[b0:e4:d5:39:26:89, 23541, 95, -64, 14:22:3b:16:5a:bd, 14392, 50, -64, cc:f4:11:8b:29:4d, 31121, 0, -85, b0:e4:d5:96:3b:95, 8816, 55, -63, 14:22:3b:2a:86:f5, 5034, 1179, -53, f8:1a:2b:06:3c:0b, 7369, 117, -59]",4.43916E+12,0.33559337,0.09990034,9.8015995,0.005192202,0.07543964,0.061084725,-22.8875,-4.4625,35.7375,1.7681398,-0.010185927,-0.034225263,0,21.58022222,15.326
45,4439414415824,"[b0:e4:d5:39:26:89, 23307, 191, -64, 14:22:3b:16:5a:bd, 14402, 388, -71, cc:f4:11:8b:29:4d, 30552, 181, -84, b0:e4:d5:96:3b:95, 9246, 114, -62, 14:22:3b:2a:86:f5, 5418, 112, -56, f8:1a:2b:06:3c:0b, 7340, 64, -54]",4.43941E+12,0.8213364,0.3080759,9.91825,0.002596101,-0.07070557,0.06429167,-22.7125,-4.3125,35.9,1.7771857,-0.03094568,-0.082622096,0,21.56702273,15.326
46,4439669314912,"[b0:e4:d5:39:26:89, 23268, 87, -71, 14:22:3b:16:5a:bd, 14334, 135, -68, cc:f4:11:8b:29:4d, 29999, 85, -77, b0:e4:d5:96:3b:95, 9246, 307, -64, 14:22:3b:2a:86:f5, 4910, 59, -57, f8:1a:2b:06:3c:0b, 7340, 64, -58]",4.43967E+12,0.14356937,1.0851451,9.757333,-0.029015245,0.041537613,0.024892027,-22.2875,-3.375,35.5875,1.8785897,-0.11074626,-0.014712935,0,21.55382323,15.326
47,4439922238843,"[b0:e4:d5:39:26:89, 23697, 88, -62, 14:22:3b:16:5a:bd, 15222, 67, -68, cc:f4:11:8b:29:4d, 28559, 1476, -83, b0:e4:d5:96:3b:95, 12097, 154, -64, 14:22:3b:2a:86:f5, 5515, 103, -55, f8:1a:2b:06:3c:0b, 6988, 102, -60]",4.43992E+12,0.55393845,0.8644072,10.013963,-0.019852536,-0.04688253,0.14935215,-21.875,-3.8500001,36.037502,1.8495885,-0.08597596,-0.05526029,0,21.54062374,15.326
48,4440198926579,"[b0:e4:d5:39:26:89, 22838, 95, -65, 14:22:3b:16:5a:bd, 15125, 67, -75, b0:e4:d5:96:3b:95, 10525, 97, -61, 14:22:3b:2a:86:f5, 5603, 97, -59]",4.4402E+12,0.023928227,-0.96430755,9.862019,-0.02611372,-0.032222193,0.073607095,-22.737501,-4.4500003,35.225002,1.6148602,0.09746981,-0.002426296,0,21.52742424,15.326
49,4440198926579,"[b0:e4:d5:39:26:89, 22838, 95, -65, 14:22:3b:16:5a:bd, 15125, 67, -75, b0:e4:d5:96:3b:95, 10525, 97, -61, 14:22:3b:2a:86:f5, 5603, 97, -59]",4.4402E+12,1.0977074,-1.2430713,9.978668,-0.023975754,-0.0749815,-0.2131857,-21.362501,-3.675,36.8625,1.5482959,0.123198785,-0.10956486,0,21.51422475,15.326
50,4440468262387,"[b0:e4:d5:39:26:89, 23189, 67, -64, 14:22:3b:16:5a:bd, 14363, 121, -71, cc:f4:11:8b:29:4d, 29363, 0, -81, b0:e4:d5:96:3b:95, 10935, 101, -65, 14:22:3b:2a:86:f5, 4671, 218, -59, f8:1a:2b:06:3c:0b, 6256, 101, -59]",4.44047E+12,-0.22851457,-0.43908295,9.424132,0.003512372,-0.040163208,0.007024744,-22.1875,-3.8875,35.8875,1.6731546,0.04654401,0.02424306,0,21.50102525,15.326
51,4440746457467,"[b0:e4:d5:39:26:89, 23229, 55, -70, 14:22:3b:16:5a:bd, 14802, 162, -67, cc:f4:11:8b:29:4d, 33984, 645, -85, b0:e4:d5:96:3b:95, 8542, 151, -61, 14:22:3b:2a:86:f5, 4841, 50, -57, f8:1a:2b:06:3c:0b, 6226, 101, -59]",4.44075E+12,1.0785648,-0.4779663,9.700503,0.034818295,0.021685077,0.06627693,-21.237501,-3.7875001,36.1875,1.6557727,0.04893146,-0.11073166,0,21.48782576,15.326
52,4441019727338,"[b0:e4:d5:39:26:89, 23424, 0, -65, 14:22:3b:16:5a:bd, 14158, 246, -69, b0:e4:d5:96:3b:95, 8738, 95, -58, 14:22:3b:2a:86:f5, 5486, 97, -58, f8:1a:2b:06:3c:0b, 6578, 97, -59]",4.44102E+12,-0.21655045,-0.26081768,9.985249,-6.11E-04,-0.08353336,-0.12003148,-21.65,-3.3,36.225002,1.6825644,0.026108222,0.021683637,0,21.47462626,15.326
53,4441019727338,"[b0:e4:d5:39:26:89, 23424, 0, -65, 14:22:3b:16:5a:bd, 14158, 246, -69, b0:e4:d5:96:3b:95, 8738, 95, -58, 14:22:3b:2a:86:f5, 5486, 97, -58, f8:1a:2b:06:3c:0b, 6578, 97, -59]",4.44102E+12,1.2568301,1.6941184,10.196416,0.07269082,0.03771982,0.103691325,-21.7,-3.825,36.2,1.9108901,-0.16342969,-0.12264332,0,21.46142677,15.326
