Time Stamp (ms),M1-M2 RTT Distance (m),RTT std (m),RSS (dBm)
252178,8.39,0.135,-60
253232,9.128,0.27,-64
253753,9.511,0.09,-56
254280,7.105,0.06,-60
255321,9.683,0.27,-57
255847,6.996,0.09,-56
256370,7.25,0.075,-58
257419,8.156,0.09,-55
257950,9.808,0.165,-60
258995,6.507,0.24,-59
260040,8.808,0.06,-58
261088,7.367,0.15,-55
262143,7.578,0.09,-57
262667,7.648,0.165,-60
263711,9.722,0.15,-56
264263,10.531,0.15,-55
