real_dis,RTT,RTT std,RSS,AP_idx,class_idx,AP_x,AP_y,circle,user,true_x,true_y
14.47940309,17.65992324,0.06,-61,4,12,13.154,7.843,2,1,0.466424,0.866
0.983619514,2.640069885,0.18,-41,6,12,0,0,2,1,0.466424,0.866
11.08414192,12.24279417,0.075,-55,1,13,11.55,0,2,1,0.49974,0.866
4.126201128,5.5987178,0.075,-45,2,13,0.459,4.992,2,1,0.49974,0.866
23.35132363,27.59647081,0.03,-61,3,13,23.835,0,2,1,0.49974,0.866
14.45021886,18.29316812,0.09,-59,4,13,13.154,7.843,2,1,0.49974,0.866
0.999848022,1.875494868,0.06,-38,6,13,0,0,2,1,0.49974,0.866
11.05092807,12.25880749,0.03,-54,1,14,11.55,0,2,1,0.533056,0.866
4.126664548,5.516386589,0.06,-47,2,14,0.459,4.992,2,1,0.533056,0.866
23.31803058,23.74773692,0.21,-62,3,14,23.835,0,2,1,0.533056,0.866
14.42105254,16.62848448,0.255,-63,4,14,13.154,7.843,2,1,0.533056,0.866
25.78289724,33.42126007,0.285,-71,5,14,25.354,7.843,2,1,0.533056,0.866
1.016909386,2.79055998,0.165,-35,6,14,0,0,2,1,0.533056,0.866
11.01771483,11.82843696,0.09,-56,1,15,11.55,0,2,1,0.566372,0.866
4.127396849,5.739261364,0.06,-46,2,15,0.459,4.992,2,1,0.566372,0.866
23.2847376,23.90877236,0.195,-62,3,15,23.835,0,2,1,0.566372,0.866
14.39190424,17.27376511,0.165,-59,4,15,13.154,7.843,2,1,0.566372,0.866
25.75082583,29.43675391,0.285,-71,5,15,25.354,7.843,2,1,0.566372,0.866
1.034762409,2.337113604,0.06,-38,6,15,0,0,2,1,0.566372,0.866
10.96789614,11.86446901,0.06,-56,1,16,11.55,0,2,1,0.616346,0.866
4.128999124,5.508353747,0.03,-48,2,16,0.459,4.992,2,1,0.616346,0.866
23.23479825,23.77974401,0.12,-62,3,16,23.835,0,2,1,0.616346,0.866
14.34821581,18.52425332,0.135,-60,4,16,13.154,7.843,2,1,0.616346,0.866
25.70272465,29.99583304,0.24,-71,5,16,25.354,7.843,2,1,0.616346,0.866
1.062938564,1.330128189,0.03,-46,6,16,0,0,2,1,0.616346,0.866
10.91807888,12.27482077,0.24,-57,1,17,11.55,0,2,1,0.66632,0.866
