real_dis,RTT,RTT std,RSS,AP_idx,class_idx,AP_x,AP_y,circle,user,true_x,true_y
5.671847774,6.626909159,0.248,-68,2,36,16.495,16.15,5,1,21.5226589,11.15
12.87251337,12.47838307,0.187,-68,5,36,15.09,0,5,1,21.5226589,11.15
24.23937594,23.51789593,0,-68,6,36,0,0,5,1,21.5226589,11.15
10.36194186,13.06721133,2.052,-78,1,37,30.84,6.75,5,1,21.45864407,11.15
5.641908836,5.552420733,2.051,-72,2,37,16.495,16.15,5,1,21.45864407,11.15
12.84064357,12.80062498,0.639,-70,5,37,15.09,0,5,1,21.45864407,11.15
24.18255374,27.97170849,5.859,-75,6,37,0,0,5,1,21.45864407,11.15
10.39092919,14.6204907,1.501,-74,1,38,30.84,6.75,5,1,21.42663665,11.15
5.627152726,6.795356429,0.06,-63,2,38,16.495,16.15,5,1,21.42663665,11.15
12.82479879,13.00577276,1.189,-67,5,38,15.09,0,5,1,21.42663665,11.15
10.41993421,13.24324472,0.186,-74,1,39,30.84,6.75,5,1,21.39462924,11.15
5.612540356,5.591571246,0.637,-65,2,39,16.495,16.15,5,1,21.39462924,11.15
12.8090144,12.71256009,0.191,-61,5,39,15.09,0,5,1,21.39462924,11.15
24.12576756,24.20204018,0.338,-68,6,39,0,0,5,1,21.39462924,11.15
10.43444329,13.15522808,0.26,-76,1,40,30.84,6.75,5,1,21.37862553,11.15
5.605288425,6.551702069,0.179,-64,2,40,16.495,16.15,5,1,21.37862553,11.15
12.80114491,12.71256009,0.095,-62,5,40,15.09,0,5,1,21.37862553,11.15
24.11157667,26.31143774,0.18,-70,6,40,0,0,5,1,21.37862553,11.15
10.46347455,13.38927207,0.217,-71,1,41,30.84,6.75,5,1,21.34661811,11.15
5.590893774,5.552420733,0.352,-64,2,41,16.495,16.15,5,1,21.34661811,11.15
12.78545151,12.8306469,0,-62,5,41,15.09,0,5,1,21.34661811,11.15
10.49252312,13.18423358,0.395,-71,1,42,30.84,6.75,5,1,21.3146107,11.15
5.576645677,6.704116944,0.142,-65,2,42,16.495,16.15,5,1,21.3146107,11.15
12.76981904,13.9243811,0.146,-61,5,42,15.09,0,5,1,21.3146107,11.15
10.50705385,12.97919446,0.508,-72,1,43,30.84,6.75,5,1,21.29860699,11.15
5.569576938,5.963904426,0.065,-63,2,43,16.495,16.15,5,1,21.29860699,11.15
12.76202573,13.69023378,0.202,-65,5,43,15.09,0,5,1,21.29860699,11.15
24.04065639,25.6083125,0,-73,6,43,0,0,5,1,21.29860699,11.15
10.53612812,13.38927207,0.237,-74,1,44,30.84,6.75,5,1,21.26659958,11.15
5.555550783,6.711135597,0.103,-64,2,44,16.495,16.15,5,1,21.26659958,11.15
12.7464851,13.14286894,0.365,-68,5,44,15.09,0,5,1,21.26659958,11.15
10.55067162,13.09621687,0.273,-71,1,45,30.84,6.75,5,1,21.25059587,11.15
5.548593649,6.59381862,0.15,-62,2,45,16.495,16.15,5,1,21.25059587,11.15
12.73873783,13.18189596,0.851,-73,5,45,15.09,0,5,1,21.25059587,11.15
23.99813169,23.84996698,0,-79,6,45,0,0,5,1,21.25059587,11.15
10.57977127,13.18423358,0.165,-71,1,46,30.84,6.75,5,1,21.21858845,11.15
5.53479197,6.609862631,0.217,-66,2,46,16.495,16.15,5,1,21.21858845,11.15
12.72328953,11.89190918,0.286,-70,5,46,15.09,0,5,1,21.21858845,11.15
10.60888767,13.56530461,0.544,-72,1,47,30.84,6.75,5,1,21.18658104,11.15
5.521141346,5.904703634,0.117,-64,2,47,16.495,16.15,5,1,21.18658104,11.15
12.70790307,12.24319848,0.128,-73,5,47,15.09,0,5,1,21.18658104,11.15
10.62345211,13.38927207,0.158,-72,1,48,30.84,6.75,5,1,21.17057733,11.15
5.514373031,6.409296685,0.324,-67,2,48,16.495,16.15,5,1,21.17057733,11.15
12.7002331,12.56645041,0.225,-68,5,48,15.09,0,5,1,21.17057733,11.15
10.63802069,13.50729394,0.196,-72,1,49,30.84,6.75,5,1,21.15457362,11.15
5.507642901,6.434369355,0.302,-64,2,49,16.495,16.15,5,1,21.15457362,11.15
12.69257867,11.62768008,0.507,-67,5,49,15.09,0,5,1,21.15457362,11.15
10.66717017,13.56530461,0.096,-70,1,50,30.84,6.75,5,1,21.12256621,11.15
