M1 Time Stamp (ms),AP1 True Distance (m),AP1 RTT Distance (m),AP1 RTT std (m),AP1 RSS (dBm),AP2 True Distance (m),AP2 RTT Distance (m),AP2 RTT std (m),AP2 RSS (dBm),AP3 True Distance (m),AP3 RTT Distance (m),AP3 RTT std (m),AP3 RSS (dBm),AP4 True Distance (m),AP4 RTT Distance (m),AP4 RTT std (m),AP4 RSS (dBm),AP5 True Distance (m),AP5 RTT Distance (m),AP5 RTT std (m),AP5 RSS (dBm),AP6 True Distance (m),AP6 RTT Distance (m),AP6 RTT std (m),AP6 RSS (dBm),AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Azimuth,Pitch,Roll,M1 Ground Truth
10300,8.076842195,11.30294634,1.219,-73,8.448087348,9.70112344,0.07,-58,16.07602871,17.57889064,0.068,-59,22.50896515,27.28641935,0.096,-75,5.931017022,10.83546995,0.106,-57,17.26295024,18.34018563,0.104,-62,-0.77826554,0.4336991,9.447462,0.007635591,0.03939965,0.055128966,-17.6625,12.9375,63.625,0.89329183,-0.045719557,0.082192674,"[-7.633202463, 2.64]"
10700,8.067450326,9.347637188,0.1,-66,8.439108647,9.975477131,0.055,-59,16.06639515,17.36380261,0.207,-60,22.49912646,26.46627743,0.082,-73,5.940312654,11.9695614,0.339,-62,17.25350707,18.53625769,0.07,-67,-0.4354937,-0.006580262,9.567103,0.004428643,0.000764,0.02443389,-17.362501,12.837501,62.95,0.8438326,0.000687,0.045488514,"[-7.623264049, 2.64]"
11100,8.048670526,11.92852552,0.093,-65,8.421157713,9.544912991,0.03,-57,16.04712915,17.20673694,0.11,-57,22.47944934,25.9091759,0.209,-75,5.958910143,7.863119038,0.055,-59,17.23462239,18.69231396,0.095,-62,-0.08015956,-0.6430711,9.620942,0.006872032,-0.0219905,0.02443389,-18.2,13.6625,62.8375,0.7809817,0.06673918,0.008331586,"[-7.603387221, 2.64]"
11500,8.029896007,9.347637188,0.1,-67,8.403215449,9.955451974,0.075,-61,16.02786465,17.22674537,0.077,-62,22.45977258,25.52810391,0.998,-72,5.977515865,7.705795481,0.055,-60,17.21573995,18.19413095,0.062,-64,-0.6939186,-0.36011982,8.801998,-0.011147963,-0.035887275,0.06306998,-18.4125,13.3875,62.525,0.6994696,0.04076427,0.078673765,"[-7.583510393, 2.64]"
11800,8.011126805,9.582964886,0.1,-69,8.385281909,9.623019069,0.146,-61,16.00860164,17.51986669,0.17,-58,22.44009617,25.70413743,0.22,-72,5.996129747,6.649227324,0.15,-58,17.19685975,18.54526096,0.177,-65,-0.6837491,0.38763726,9.72144,-0.00335966,0.006872032,0.0413849,-18.225,13.6625,62.0125,0.8925866,-0.039755248,0.0702185,"[-7.563633564, 2.64]"
12100,8.001744211,9.347637188,0.105,-67,8.376318429,9.505859298,0.11,-61,15.9989707,17.51986669,0.195,-61,22.4302581,24.6299254,0.639,-72,6.005439723,7.666713051,1.66,-57,17.1874205,18.73132788,0.11,-63,-0.4235296,-0.07477571,9.229117,-0.00335966,0.015423893,0.045049984,-17.8125,14.337501,61.3625,0.7901273,0.008093457,0.04585841,"[-7.55369515, 2.64]"
12400,7.982983058,9.425747769,0.07,-66,8.358398083,9.183398554,0.433,-58,15.97970994,17.63691402,0.095,-58,22.41058222,26.23123512,0.261,-70,6.024065699,6.883865484,0.222,-56,17.16854367,18.49724347,0.069,-61,-0.552742,-0.18185452,10.057034,-0.00167983,-0.002901525,0.020616096,-18,14.212501,61.025,0.76189697,0.01805311,0.0549055,"[-7.533818322, 2.64]"
12700,7.973604509,9.817275589,0.031,-67,8.349441231,9.232470742,0.114,-62,15.97008013,17.37280634,0.173,-60,22.40074441,25.68413364,0.131,-75,6.03338168,6.922967644,0.113,-58,17.15910611,18.30117111,0.244,-66,-0.62452674,-0.23509483,10.113265,-0.004428643,-0.03115321,-0.04046863,-18.300001,14.3,60.725002,0.7455579,0.023197826,0.061674908,"[-7.523879908, 2.64]"
12900,7.964227317,9.425747769,0.114,-63,8.340486602,9.076238208,0.095,-60,15.9604507,17.63691402,0.097,-61,22.39090669,23.9657848,0.245,-72,6.042699645,6.844762158,0.102,-55,17.14966911,18.41821449,0.11,-65,-0.7645068,0.63170516,10.156336,-0.001985254,0.004428643,0.031611346,-18.125,14.325,61.2125,0.9120259,-0.06194332,0.07513219,"[-7.513941493, 2.64]"
13300,7.945477028,9.269524745,0.114,-65,8.322584046,8.879934459,0.203,-61,15.94119297,17.36380261,0.151,-59,22.37123152,27.20840622,0.24,-80,6.061341488,6.962068658,0.095,-55,17.13079681,18.06708266,0.069,-62,-0.32303107,0.2638087,10.296316,-0.002748813,-0.045049984,0.00335966,-18.2,15.087501,61.075,0.87816715,-0.025603462,0.031363174,"[-7.494064665, 2.64]"
