M1 Time Stamp (ms),AP1 True Distance (m),AP1 RTT Distance (m),AP1 RTT std (m),AP1 RSS (dBm),AP2 True Distance (m),AP2 RTT Distance (m),AP2 RTT std (m),AP2 RSS (dBm),AP3 True Distance (m),AP3 RTT Distance (m),AP3 RTT std (m),AP3 RSS (dBm),AP4 True Distance (m),AP4 RTT Distance (m),AP4 RTT std (m),AP4 RSS (dBm),AP5 True Distance (m),AP5 RTT Distance (m),AP5 RTT std (m),AP5 RSS (dBm),AP6 True Distance (m),AP6 RTT Distance (m),AP6 RTT std (m),AP6 RSS (dBm),AP7 True Distance (m),AP7 RTT Distance (m),AP7 RTT std (m),AP7 RSS (dBm),AP8 True Distance (m),AP8 RTT Distance (m),AP8 RTT std (m),AP8 RSS (dBm),AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Azimuth,Pitch,Roll,M1 Ground Truth_x,M1 Ground Truth_y,user,circle
10166.54086,0,0,0,0,14.4726214,15.83510811,0.105,-52,0,0,0,0,0,0,0,0,8.412937545,8.88794712,0.09,-46,1.72192588,5.135718061,0.06,-47,0,0,0,0,4.928992781,7.847086657,0.015,-46,0.37806597,0.18723837,9.877572,0.007177667,-0.03436117,-0.027030786,11.1508,12.8832,69.332596,-0.6334803,-0.018939774,-0.03825652,12.97033962,-0.160830189,2,1
10631.48951,12.95074922,14.56942291,0.105,-50,14.44732844,15.90914482,0.135,-52,0,0,0,0,0,0,0,0,8.388087964,8.958056932,0.12,-45,1.745340651,5.17088242,0.06,-46,0,0,0,0,4.919932523,7.619612589,0.09,-45,-0.44027936,0.5300102,10.166505,-0.011301007,-0.013897184,-0.013591751,11.163,13.4321995,68.8202,-0.9614109,-0.052037146,0.043279815,12.94993711,-0.145031447,2,1
11167.4041,12.91990308,14.78054536,0.09,-47,14.40939238,16.27732241,0.06,-52,0,0,0,0,0,0,0,0,8.350824441,9.025160442,0.09,-44,0,0,0,0,0,0,0,0,4.906565214,7.31092224,0.045,-45,0.2847459,-0.05623133,9.882956,-0.005345071,0.01160644,-0.005039638,11.2727995,13.054,68.7348,-0.604515,0.005687307,-0.028803848,12.91933333,-0.121333333,2,1
11641.24236,12.89936254,14.78354707,0.03,-47,14.38410397,15.96417189,0.06,-52,0,0,0,0,0,0,0,0,8.325989414,9.068226067,0.09,-43,1.804162815,4.612981682,0.06,-47,0,0,0,0,4.897803355,6.707389656,0.06,-50,-0.42891344,0.25842485,10.129416,0.016646078,0.000764,-0.050396383,11.467999,13.3468,68.6372,-0.8910541,-0.025483955,0.042318072,12.89893082,-0.105534591,2,1
12199.4782,12.86858726,14.56542056,0.135,-48,14.34617478,14.8385784,0.465,-56,0,0,0,0,0,0,0,0,8.288747967,9.157359936,0.09,-41,0,0,0,0,0,0,0,0,4.884886676,9.686103499,0.09,-49,-0.5138587,0.148355,9.887143,0.003207043,0.004428773,-0.017256944,11.8828,13.0418,67.8564,-0.9071156,-0.014983495,0.05192569,12.86832704,-0.081836478,2,1
12635.74175,12.84809424,14.5614182,0.075,-46,0,0,0,0,0,0,0,0,0,0,0,0,8.263927822,9.036177289,0.09,-41,1.86336154,4.019017293,0.105,-49,0,0,0,0,4.876427244,8.731696055,0.075,-49,-1.2412767,0.29192436,9.634102,0.004734206,-0.041691553,-0.06627888,11.2972,13.5054,67.7222,-1.0449454,-0.030043691,0.12813607,12.84792453,-0.066037736,2,1
13174.80897,12.81739068,14.58843408,0.075,-46,14.28296874,19.07144683,0.09,-52,0,0,0,0,0,0,0,0,8.226708951,9.017148163,0.075,-41,0,0,0,0,0,0,0,0,4.863967184,8.288933345,0.045,-51,-0.055633128,0.45164528,9.847662,0.007177667,-0.014966198,0.010842858,11.1264,12.7368,67.0268,-0.87257123,-0.04583035,0.005649314,12.81732075,-0.042339623,2,1
13618.7144,12.79694576,14.44434869,0.06,-46,14.2576896,18.89938719,0.135,-52,0,0,0,0,0,0,0,0,8.201904026,9.111291072,0.105,-41,1.922902045,5.037245676,0.09,-45,0,0,0,0,4.855814134,10.58119317,0.045,-49,0.021535404,0.34217364,10.0672035,0.007177667,0.008246681,0.07803804,11.7242,13.297999,66.734,-0.8101164,-0.03397579,-0.002139161,12.79691824,-0.026540881,2,1
14082.02353,12.77652024,14.47136483,0.06,-45,14.23241234,30.42089126,0.12,-54,0,0,0,0,0,0,0,0,8.17710528,9.118301596,0.06,-41,1.946806932,4.660254178,0.06,-48,0,0,0,0,4.84778472,8.477267484,0.075,-48,0.50129634,0.2213361,9.9960165,-0.016340645,0.018936822,0.056046885,11.5046,13.2248,67.4294,-0.60549146,-0.022111034,-0.05010763,12.77651572,-0.010742138,2,1
14620.03899,12.74591853,14.40132286,0.045,-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.835973783,8.038464779,0.045,-45,0.3152544,-0.43728834,9.565907,-0.003970624,-0.001679879,0.001069014,10.748199,12.9198,66.8072,-0.491153,0.045656662,-0.032944113,12.74591195,0.012955975,2,1
15131.6019,12.72554192,14.47136483,0.075,-45,14.1692275,16.07022352,0.315,-56,0,0,0,0,0,0,0,0,8.115135857,8.918995964,0.075,-42,0,0,0,0,0,0,0,0,4.828256159,7.41215495,0.075,-45,-0.1698904,-0.19262223,9.926624,0.004734206,-0.011301007,0.031612277,11.333799,12.7368,66.6364,-0.7269401,0.01939933,0.017112948,12.72550943,0.028754717,2,1
